next_page,reviews__id,reviews__review_data,reviews__name,reviews__rating,reviews__title,reviews__review
10.0,R2Q4EIXF10KRWM,"Reviewed in the United States on March 24, 2020",Rob Goblin,4,Plug and play,As a long time Nintendo gamer I've learned to never purchase third party equipment if you want it to function and not waste money. This isn't the cheapest option but it is plug and play after a system restart while other cards have a more lengthy and frustrating process. I wish it wasn't so much but that's the price you pay with Nintendo.
,R282FSBAYAT0O5,"Reviewed in the United States on September 24, 2020",Pasta_Lord,5,Has dozens of times the storage the switch has. Perfect for more download games.,"I thought it was exspensive when i bought it, but after installing it i see why it was $53. I could fit the games from 10 or 20 switches onto this memory card.Worth every penny. After seeing its speed and storage i would value this at $65. Glad i got it. Pokemon games take up a lot of room, even without the dlc."
,RK94WGC7EEJR2,"Reviewed in the United States on March 26, 2020",v m.,1,SD card dead upon arrival,"Card came in poor condition, the package looked sealed but damaged and upon opening it the micro-sd card appeared to have a slight bend in it. I was able to insert it into my switch but it was unable to be recognized by the system. My switch was updated and I restarted it several times but an error code kept appearing. Very disappointed."
,R2ZXVZEES3RSLT,"Reviewed in the United States on August 15, 2020",Anya,5,"A bit overpriced, but still worked like a charm!","Although there are plenty of other micro SD cards with far more storage capacity at fairly affordable prices, you still can't go wrong with the Nintendo brand.Even though you're paying mostly for the brand name, it still feels as though it was the right call after reading horror stories of other micro SD card mishaps involving numerous errors or even corrupted save data!I think I'll play it safe by just sticking to Nintendo."
,R2CIQF0GEE60SN,"Reviewed in the United States on January 18, 2020",OHLR,5,Top Quality and we added many games to our Nintendo Switch,"SanDisk is the best manufacturer of flash memory in our experience and we ran out of storage on our Switch. Once we put this in, we installed a ton more games which is important for our YouTube channel OHLR Arcade. We actually bought the official Nintendo memory card in an electronics store for 4X the price and it didn't fit, so we returned that and purchased this one on Amazon instead."
,RD7NBI6YMQ840,"Reviewed in the United States on August 16, 2020",Brandon J Garcia,5,Super Reliable!,"Hands down the best micro sd card Ive had. I bought this a while ago and it still works, all 128 gigabyte where there, well except for the few it uses but thats completely normal. I was sceptical at first but I bought it anyways. A lot of micro sd cards seem to be fake here on Amazon but this one is 100% real. I even bought a 64 gigabyte one later because its trustworthy.This micro sd card is not limited to just the Nintendo Switch. I used it for my ps vita thanks to sd2vita and It works just as expected. Probably the only micro sd I will ever buy now."
,R2O0ZR9G932GWH,"Reviewed in the United States on January 8, 2020",Kevin Manuel Garcia villegas,5,Pues es una memoria para la switch y ya,"Que puedo comentar, es una memoria para la Nintendo switch, que llego en su empaque de Nintendo en un sobre de envio normal, en tiempo normal, nada extraordinario o fuera de lo comun, lo puse en la consola y funciona, como debe de ser,, no es mas de lo que esperaba pues las especificaciones son claras, una memoria de 128gb para la consola y ya esta, no es como que venga con algunos GB de sobra o mejore la funcionalidad del Sistema."
,R385RH9ZO5QFPQ,"Reviewed in the United States on July 7, 2020","Jeremy Collins, AKA. Manator",4,There are cheaper versions they all work the same.,It works.I often wonder why I didnt go buy 2 64gb cards for 21$.Because it wouldve saved me 12$.But I was cautious of using a non nintendo product for various reason so I spent the extra money.It reads fast it writes fast and I can stop archiving my games now. Plenty of room for what I need.
,R1YF67VBR7ED6Q,"Reviewed in the United States on May 17, 2020",L. Stillwell,5,Worked perfect,"After reading other reviews I made sure this was ships and sold by amazon before purchasing. I didn’t want to do a bunch of research on sd cards, so seeing that this was endorsed by Nintendo made it an easy pick for me. I was able to install into my Nintendo switch and begin downloading games right away."
,RWGK01LHAUMDJ,"Reviewed in the United States on May 2, 2020",jillholiver,2,disappointed.,"I ordered this out of necessity for my Switch. I bought the 256 GB card, knowing I would need the extra space. It was obviously brand new in its package, which was sufficiently protected. However, I loaded the SD card in my Switch only to find that the capacity read as 238 GB. 18 GB may not seem like a huge deal, but for 50+ dollars, I expected the capacity I paid for. I'm super disappointed. I wouldn't have bought this product had I known the capacity wasn't what was advertised."
2.0,R25BJNTP6J2EOM,"Reviewed in the United States on February 11, 2019",Jon,5,"Great for the Switch, if you can find it on sale","The main difference from this and a cheaper SanDisk Ultra, is this card is a U3 and the Ultra is U1. The U3 allows for faster installs and may save a few seconds on load times. The only reason I choose this card at the time was that it was on sale for only $3 more. I also get the awesome design along with 4x the storage space.For those wondering why the free space on the card read 119, it is because of the way gigabytes are calculated.The package has 1gb equaling 1,000,000,000 bytes. Really 1gb is 1,073,741,824 bytes. That 73,741,824 bytes (73.7 megabytes) missing per gigabyte. That really adds up.All SD card and USB stick manufacturers use this calculation method; not just Sandisk."
,R1H9CORV6UUXUX,"Reviewed in the United States on December 17, 2018",ADKIc3mAnX,5,This is a SanDisk Extreme! So it’s perfect.,"I just purchased a Nintendo Switch at a Target, but I didn’t realize how bad I would be needing an SD card, so I checked in stores and they had this same exact card for over $60.00. So I checked up Amazon and long and behold I found it for $35.00! This was an amazing deal and I have to give it to Amazon they compete against everyone and I love it!"
,R2Q6G6E3NK7PG3,"Reviewed in the United States on January 8, 2019",Pogo,5,Grab a mushroom and grow with me.,"Last night, the memory card called out to me: Mario, save our princess, she’s in another castle and we can’t stand being without her anymore. I opened my eyes, and questioned if I really heard this or if my imagination was playing tricks on me. Since I cannot stand to hear mushrooms in distress, I immediately ran to the bathroom and grabbed my plunger. If it’s good enough for Mario, it’s good enough for me.Then I turned on my switch, and beat the hell out of bowser in smash bros.Cliff notes: this memory card, while pricier than others, is really cool and a bit nostalgic. But it works!"
,R39M0SA02EGRYZ,"Reviewed in the United States on January 15, 2019",Nicholas Peiffer,3,"Storage Capacity Lies. Not 64 GB, actually 59.4 GB.","Package arrived on time, and putting the Micro SD card into my Nintendo Switch was easy with no setup other than a update.My huge issue with this product is that the packaging indicates 64 GB of storage but when I looked at my storage on the Switch it showed 59.4 GB of storage available on the Micro SD card. I have no idea what could possibly take up 4.6 GB of storage. I have none of my Nintendo files saved to the card and it indicates nothing is stored on it but clearly shows less storage than advertised.In the case that it uses that 4.6 GB for other necessary purposes then SanDisk should advertise the Micro SD card's storage capacity correctly at 59.4 or lie less and at most say 60 GB of storage.Aside from being lied to about storage space the product works, and cost was really affordable.I would not recommend this Micro SD card unless you don't care about nearly 5 GB not being available."
,RW96E2AT7G3DM,"Reviewed in the United States on January 29, 2019",Blaze_Piffington,5,Why pay more for namebrand when you have a more frugal and equally functionable choice?,"After I heard that there were some products that caused the switch to malfunction or even burn out the SD port, I took tedious care in selecting the best product for what I needed. This SD card came in clutch, it's got a Nintendo switch logo, is fully endorsed, and was a lot cheaper than namebrand. I knew I could not go wrong in till this day, my switch is functioning like a dream. If you already made an investment in a switch, go the extra mile and purchase the extra memory for it, you're going to need it."
,R3TRJPKYZB7RSG,"Reviewed in the United States on February 26, 2019",Zach ,5,It’s about as good as this could get,I’m assuming you’ve downloaded a couple games directly to your switch and your not buying games physically/ downloaded warframe and it’s taking all of your space like me it was confusing at first where to put this tiny SD card (smaller than a penny) but I’ll help you guys out if you don’t know already the stand on the back of your switch hides the slot for the card so flip your stand up and slide it in like the picture on your switch shows you and make sure it clicks in just like how you would put a game inNote: you paid for 128 GB of storage but your switch still has to configure it to make it compatible so that’ll take some storage this happens to every kind of storage unit on almost any device you use so your really buying 120-119 of storage at least that’s what mine is left with
,RK617YRBTWOBF,"Reviewed in the United States on January 7, 2019",david vargas,5,"Perfect add-on for the Nintendo Switch and ""The Legend of Zeld"" Fans!","Nicely customized,""The Legend of Zelda"" SanDisk SD memory card for the Nintendo Switch,64 GB,Offically Licensed Nintendo Switch merchandise.Smaller than a U.S. dime $0.10 coin.originally Priced at $19.99 USD..got this item for $17.00 USD for being a Amazon Prime member,with free 2-day shipping and handling! Wow😮 ! Perfect for all fans of the Nintendo ""The Legend of Zelda"" game series."
,R2BX965QNSL9ZL,"Reviewed in the United States on December 19, 2018",False Path,5,Good Presentation,"It was functional and painless to yse. It has a lot if extra space that will let me take more photos and download more games. It also has a neat logo/emblem, although you'll hardly see it."
,R1Y0L5HYCSZSDG,"Reviewed in the United States on January 11, 2019",anthony tan,1,Review based on unreadable card,The card was uncompatible with my switch and wasn't readable at all.
,R1MEWICLQ6F2HH,"Reviewed in the United States on March 6, 2019",Daxmo!,5,128GB minus 10GB,"Great for $25 ! Exactly what one needs to have more space on a single device!! However you do not get 128GB as it’s advertised. You get about 118GB total . (I took the pic after downloading a few games and demos) I’m sure the other 10GB goes towards space needed for the device to recognize the SD cardor for it to configure to the switch (I’ve got no idea just guessing ) but I’d much prefer it to advertise the 118GB of actual space that you get . I’m also not sure why it saves things to the SD card when there is available space on the Switch. I suppose it’s so that the Switch doesn’t get bloated then start to run slower or some other valid reason but it just means that if you ever remove the SD you might loose the games or at the very least have to re-download them to the device. You can get past this by removing the SD before makingcertain downloads and get more control of what gets saved to the device VS the SD card , but I’m not that anal about it. The Switch does tell you where your downloads are saved via a blue hi-lighted section (See pictures ). Still give 5 stars because I’m not THAT mad . Just thought I’d share for those who are more literal with things and don’t like to be misled."
3.0,R2OUZ6BC99V5EF,"Reviewed in the United States on April 10, 2019",Eddie Gonzalez,1,THE SD CARD WONT FORMAT!!!!,"xa0Defective memory card won’t even format once I format it, it just restarts my system and makes me keep formatting. Very disappointing, I was ready to fill the storage up and buy games right away now I can’t."
,REGZGWGRRG65Z,"Reviewed in the United States on January 30, 2019",Koko,3,Price is not balanced- but lots of memory,"I give this three stars because I bought it in bundle with the switch, and in or out of bundle the card was at the same price- HOWEVER, since I ordered the bundle, the original card that’s supposed to come with the switch didn’t arrive at all- so if they were going to take the original 32 gb card AND inStead include the 128, they should’ve lowered the price of the 128 go card."
,R3OYFE0RATALPK,"Reviewed in the United States on July 5, 2019",Andrew Hsieh,5,Quick to use and easily recognized,"I used this to replace a 128GB Samsung microSD card that I'd been using from the beginning in my Nintendo Switch. Obviously, you don't need to use Nintendo Switch-branded microSD cards on your Switch, but I noticed Wirecutter recommended them highly even for other use (i.e. photography, general PC usage) so I figured I'd give it a shot since the pricing was comparable.Between this and another 256 GB card I had, I found this one more usable because the Switch required me to format the other 256 GB card with the official SD card formatting utility, which took forever, whereas this one was recognized immediately. I was able to just drag and drop from my existing 128 GB card to the new 256 GB one. Fast to read, no corrupt data so far like with some cheaper microSD cards, good to go."
,R2WZGT77YSMKOZ,"Reviewed in the United States on September 24, 2019",Bella,1,Probably don't buy this,xa0Sent this to my friend in the middle of nowhere in Texas and it doesn't work.everytime he click format it says it is and restarts the switch but when it turns back on it says it needs to be formatted. Contacted Amazon and explained that a return might be alot of hassell because then we gotta wait for the return and then wait for the refund then wait 10-15 days for the refund to post to my bank to buy another one... so I guess I'm going to throw it in the garbage and buy another one. Not impressed. :/
,R3OCK9FPT3KYIS,"Reviewed in the United States on March 15, 2019",Amazon Customer,5,Cute and functional,This cute little micro SD card is perfect for my son who is obsessed with Super Mario. I read online that some off brand Micro SD cards were burning out or causing issues with the switch so I decided saving a few dollars was not worth the headache. I love that nintendo makes quality products and knew I would have peace of mind when ordering this memory card. It went in easily and at first I was a little worried because the extra storage amount was not showing on the screen but it just needed a quick restart or update as stated on the screen to show up. It took less than 30 seconds and the extra memory storage showed on the screen. However it was not the full 128GB as stated on the package. It was a little less but not too much to make a difference or cause me to return the item. Overall I'd recommend this if you have a switch and need more storage than the small amount that comes on the console.
,R219I4A1BKFR8E,"Reviewed in the United States on January 21, 2019",Nicole,5,Great price!,Love my switch however the storage limit is minimal and with so much DLC for the switch I had to get something to continue buying games. This was a great price and certainly far more storage than I'll ever need but it was only a few dollars more than a much smaller GB. Definitely worth the small amount extra to never have to worry about storage again. (I also love the cute like design on it).
,R3BSRZKZWZOSNL,"Reviewed in the United States on September 15, 2019",Sam Lilly,4,"It's-a Me, a Memory Card!","It's a little expensive for the space compared to some other cards, but the branding is neat and knowing that it's both a good quality card and properly formatted for the Switch out of the box is worth getting for a few extra bucks. It's not quite the full listed size, as is usually the case, but I find it to be plenty close for my taste and understanding there's usually a bit of space taken up on any card like this for required files. Plus, a yellow memory card with the Mario power star on it is harder to lose if you drop it and easier to distinguish when looking at multiple cards in one spot. It's not JUST cool branding... just mostly."
,R3C6JEO9RAM8OT,"Reviewed in the United States on January 28, 2019",Romero,4,"Surprisingly clear for such a small size, but a pain to get out.","Got this for my Switch as I didn't want to save my captures in the system. Works like all other SanDisk microSD cards: great!The printing is a little blurry, but at this size I'm surprised SanDisk was able to print anything on the card at all besides text.I was trying to get it out the other day to upload my captures and found it very difficult to remove. I'm not sure if it's the Switch or the card or both, but this was noticeably more difficult to pull out than other SanDisk microSDs I own. The Switch doesn't have a spring-loaded release, so you have to gut at it to get it out. I had to use tweezers and nicked it pretty good. Thankfully, the damage is cosmetic and doesn't affect the card."
